2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'3"64]      CLibXLiveImpl::setAppSettingPath 	FL:LibXLiveImpl.cpp(212)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CLibXLiveImpl::setTemporaryFolder 	FL:LibXLiveImpl.cpp(218)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(647)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CSyncManager::setSyncThreadCount 	FL:SyncManager.cpp(647)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CLibXLiveImpl::setSyncThreadCount 	FL:LibXLiveImpl.cpp(236)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CLibXLiveImpl::setEnableLANSync 	FL:LibXLiveImpl.cpp(230)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CLibXLiveImpl::setUsingHTTPS 	FL:LibXLiveImpl.cpp(255)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CLibXLiveImpl::setLargeFileLimit 	FL:LibXLiveImpl.cpp(280)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CLibXLiveImpl::setExcludeFolderPath 	FL:LibXLiveImpl.cpp(273)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CSyncManager::delFolderItemsByPath 	FL:SyncManager.cpp(198)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::init 	FL:DBFS.cpp(21)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_initDBEnv 	FL:DBFS.cpp(735)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[IN]              CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:27	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_cleanIncorrectDB 	FL:DBFS.cpp(949)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[IN]              CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[OUT 0'0"627]     CDBFS::_createTables 	FL:DBFS.cpp(827)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[IN]              CDBFS::_fixIncorrectData 	FL:DBFS.cpp(921)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[IN]              CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::queryBindPath 	FL:DBFS.cpp(504)
2013/11/21 14:59:30	T	xlive 	3276:3788 	[OUT 0'0"0]       CDBFS::_fixIncorrectData 	FL:DBFS.cpp(921)
