2013/11/22 10:24:31 	I 	kuaipan 	00001868:000018cc 	CAppKuaipan::Init() Skin Path:D:\Program Files (x86)\Kingsoft\Klive\skin\. 	FL:(null)(103)
2013/11/22 10:24:31 	T 	kuaipan 	00001868:000018cc 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\DiskType Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:31 	T 	kuaipan 	00001868:000018cc 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\processorNum Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:31 	I 	kuaipan 	00001868:000018cc 	SetProcessAffinityMask processor num = 3 	FL:(null)(56)
2013/11/22 10:24:31 	I 	kuaipan 	00001868:000018cc 	CAppKuaipan::ProcessCmdLine -infohttp "infotype='uninstall_start' ppn='klivesetup_2052_3.11.15.15.exe->QQ.exe->explorer.exe'" 	FL:(null)(342)
2013/11/22 10:24:31 	I 	kuaipan 	00001868:000018cc 	infotype='uninstall_start' ppn='klivesetup_2052_3.11.15.15.exe->QQ.exe->explorer.exe' 	FL:infocollection.cpp(392)
2013/11/22 10:24:31 	I 	kuaipan 	00001868:000018cc 	key:infotype, value:uninstall_start 	FL:infocollection.cpp(423)
2013/11/22 10:24:31 	I 	kuaipan 	00001868:000018cc 	key:ppn, value:klivesetup_2052_3.11.15.15.exe->QQ.exe->explorer.exe 	FL:infocollection.cpp(423)
2013/11/22 10:24:33 	I 	kuaipan 	00000904:000011d4 	CAppKuaipan::Init() Skin Path:D:\Program Files (x86)\Kingsoft\Klive\skin\. 	FL:(null)(103)
2013/11/22 10:24:33 	T 	kuaipan 	00000904:000011d4 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\DiskType Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:33 	T 	kuaipan 	00000904:000011d4 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\processorNum Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:33 	I 	kuaipan 	00000904:000011d4 	SetProcessAffinityMask processor num = 3 	FL:(null)(56)
2013/11/22 10:24:33 	I 	kuaipan 	00000904:000011d4 	CAppKuaipan::ProcessCmdLine -saveunistallinfo  	FL:(null)(342)
2013/11/22 10:24:33 	I 	kuaipan 	00000904:000011d4 	 	FL:(null)(445)
2013/11/22 10:24:36 	I 	kuaipan 	000015c8:000011c0 	CAppKuaipan::Init() Skin Path:d:\Program Files (x86)\Kingsoft\Klive\skin\. 	FL:(null)(103)
2013/11/22 10:24:36 	T 	kuaipan 	000015c8:000011c0 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\DiskType Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:36 	T 	kuaipan 	000015c8:000011c0 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\processorNum Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:36 	I 	kuaipan 	000015c8:000011c0 	SetProcessAffinityMask processor num = 3 	FL:(null)(56)
2013/11/22 10:24:36 	I 	kuaipan 	000015c8:000011c0 	CAppKuaipan::ProcessCmdLine -infohttp "infotype='reinstall' channel='0101-0201-001'" 	FL:(null)(342)
2013/11/22 10:24:36 	I 	kuaipan 	000015c8:000011c0 	infotype='reinstall' channel='0101-0201-001' 	FL:infocollection.cpp(392)
2013/11/22 10:24:36 	I 	kuaipan 	000015c8:000011c0 	key:infotype, value:reinstall 	FL:infocollection.cpp(423)
2013/11/22 10:24:36 	I 	kuaipan 	000015c8:000011c0 	key:channel, value:0101-0201-001 	FL:infocollection.cpp(423)
2013/11/22 10:24:36 	T 	kuaipan 	000015c8:000011c0 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\pid Failed! 	FL:../../xliveshell_hlp.h(1488)
2013/11/22 10:24:42 	I 	kuaipan 	000019ec:00001774 	CAppKuaipan::Init() Skin Path:D:\Program Files (x86)\Kingsoft\Klive\skin\. 	FL:(null)(103)
2013/11/22 10:24:42 	T 	kuaipan 	000019ec:00001774 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\DiskType Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:42 	T 	kuaipan 	000019ec:00001774 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\processorNum Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:42 	I 	kuaipan 	000019ec:00001774 	SetProcessAffinityMask processor num = 3 	FL:(null)(56)
2013/11/22 10:24:42 	I 	kuaipan 	000019ec:00001774 	CAppKuaipan::ProcessCmdLine -setup 	FL:(null)(342)
2013/11/22 10:24:43 	I 	kuaipan 	00000f28:00001030 	CAppKuaipan::Init() Skin Path:D:\Program Files (x86)\Kingsoft\Klive\skin\. 	FL:(null)(103)
2013/11/22 10:24:43 	T 	kuaipan 	00000f28:00001030 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\DiskType Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:43 	T 	kuaipan 	00000f28:00001030 	Get Register Key/Value HKEY_CURRENT_USER\Software\KLive\processorNum Failed! 	FL:xliveshell_hlp.h(1488)
2013/11/22 10:24:43 	I 	kuaipan 	00000f28:00001030 	SetProcessAffinityMask processor num = 3 	FL:(null)(56)
2013/11/22 10:24:43 	I 	kuaipan 	00000f28:00001030 	CAppKuaipan::ProcessCmdLine -infohttp "infotype='reinstall_start' ppn='firefox.exe->QQProtect.exe'" 	FL:(null)(342)
2013/11/22 10:24:43 	I 	kuaipan 	00000f28:00001030 	infotype='reinstall_start' ppn='firefox.exe->QQProtect.exe' 	FL:infocollection.cpp(392)
2013/11/22 10:24:43 	I 	kuaipan 	00000f28:00001030 	key:infotype, value:reinstall_start 	FL:infocollection.cpp(423)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CThreadManage::Init : (null) 	FL:threadmanage.cpp(42)
2013/11/22 10:24:43 	I 	kuaipan 	00000f28:00001030 	key:ppn, value:firefox.exe->QQProtect.exe 	FL:infocollection.cpp(423)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CThreadManage::Init : hr = 0, UserTime: 0'.0' 	FL:threadmanage.cpp(42)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CXTrayIcon::Init : (null) 	FL:XTrayIcon.cpp(78)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CXTrayIcon::Init : UserTime: 0'.468'' 	FL:XTrayIcon.cpp(78)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.15'' 	FL:threadpool.cpp(104)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack In, CThreadPool::Run : (null) 	FL:threadpool.cpp(104)
2013/11/22 10:24:43 	T 	kuaipan 	000019ec:00001774 	CTraceStack Out,CThreadPool::Run : UserTime: 0'.0'' 	FL:threadpool.cpp(104)
